base-files - 172-r3205-59508e3
block-mount - 2016-12-04-84b530a7-1
busybox - 1.25.1-2
chat - 2.4.7-10
comgt - 0.32-28
ddns-scripts - 2.7.6-14
dnsmasq - 2.76-6
dropbear - 2016.74-2
ext-buttons - 1.000-1
ext-command - 4.500-1
ext-extra - 1.000-1
ext-hdidle - 1.000-1
ext-p910nd - 1.000-1
ext-rooter-basic - 4.500-1
ext-rooter8 - 1.000-1
ext-samba - 1.000-1
ext-sms - 1.000-1
ext-umount - 1.000-1
fdisk - 2.28-1
firewall - 2017-01-13-37cb4cb4-1
fstools - 2016-12-04-84b530a7-1
fwtool - 1
hd-idle - 1.04-2
hostapd-common - 2016-12-19-ad02e79d-2
ip-tiny - 4.4.0-8
ip6tables - 1.4.21-2
ipset - 6.30-1
iptables - 1.4.21-2
iptables-mod-conntrack-extra - 1.4.21-2
iptables-mod-ipopt - 1.4.21-2
iw - 4.9-1
iwinfo - 2016-09-21-fd9e17be-1
jshn - 2016-11-29-77a62937-1
jsonfilter - 2016-07-02-dea067ad-1
kernel - 4.4.50-1-061f8c65dc07762faaf3d5050044cf53
kmod-ath - 4.4.50+2016-10-08-1
kmod-ath9k - 4.4.50+2016-10-08-1
kmod-ath9k-common - 4.4.50+2016-10-08-1
kmod-cfg80211 - 4.4.50+2016-10-08-1
kmod-crypto-crc32c - 4.4.50-1
kmod-crypto-hash - 4.4.50-1
kmod-fs-exfat - 4.4.50+2017-01-03-8d291f525ce6d88fe0d8b11b86fd5c2e900401d3-1
kmod-fs-ext4 - 4.4.50-1
kmod-fs-hfs - 4.4.50-1
kmod-fs-vfat - 4.4.50-1
kmod-fuse - 4.4.50-1
kmod-gpio-button-hotplug - 4.4.50-2
kmod-ifb - 4.4.50-1
kmod-ip6tables - 4.4.50-1
kmod-ipt-conntrack - 4.4.50-1
kmod-ipt-conntrack-extra - 4.4.50-1
kmod-ipt-core - 4.4.50-1
kmod-ipt-ipopt - 4.4.50-1
kmod-ipt-ipset - 4.4.50-1
kmod-ipt-nat - 4.4.50-1
kmod-lib-crc-ccitt - 4.4.50-1
kmod-lib-crc16 - 4.4.50-1
kmod-mac80211 - 4.4.50+2016-10-08-1
kmod-mii - 4.4.50-1
kmod-nf-conntrack - 4.4.50-1
kmod-nf-conntrack6 - 4.4.50-1
kmod-nf-ipt - 4.4.50-1
kmod-nf-ipt6 - 4.4.50-1
kmod-nf-nat - 4.4.50-1
kmod-nfnetlink - 4.4.50-1
kmod-nls-base - 4.4.50-1
kmod-nls-cp437 - 4.4.50-1
kmod-nls-iso8859-1 - 4.4.50-1
kmod-nls-utf8 - 4.4.50-1
